[1.0, u'procedure case originated']
[0.40999999999999998, u'government government represented']
[0.40999999999999998, u'mr laptev representative']
[0.40999999999999998, u'right fair hearing']
[0.40999999999999998, u'societies making council']
[0.40500000000000003, u'41 convention court']
[0.40500000000000003, u'authorities respondent state']
[0.40500000000000003, u'conditions detention remand']
[0.40500000000000003, u'engage acts violence']
[0.40500000000000003, u'grounds declared admissible']
[0.40500000000000003, u'ill treatment applicant']
[0.40500000000000003, u'incident including inter']
[0.40500000000000003, u'inferiority capable humiliating']
[0.40500000000000003, u'kingdom great britain']
[0.40500000000000003, u'latvian government government']
[0.40500000000000003, u'republic latvia lodged']
[0.40500000000000003, u'right respect family']
[0.40500000000000003, u'treatment punishment cpt']
[0.40000000000000002, u'adequate medical assistance']
[0.40000000000000002, u'convention provides follows']
[0.40000000000000002, u'person action taken']
[0.40000000000000002, u'torture cruel inhuman']
[0.39500000000000002, u'adopts standard proof']
[0.39500000000000002, u'applicant injuries caused']
[0.39500000000000002, u'court appeal dismissed']
[0.39500000000000002, u'criminal investigation initiated']
[0.39500000000000002, u'falling foul standard']
[0.39500000000000002, u'july 2000 applicant']
[0.39500000000000002, u'official investigation capable']
[0.39500000000000002, u'report human rights']
[0.39500000000000002, u'risk subjected treatment']
[0.39500000000000002, u'set forth convention']
[0.39500000000000002, u'united kingdom great']
[0.39500000000000002, u'use physical force']
[0.39000000000000001, u'conditions pre trial']
[0.39000000000000001, u'event inevitable element']
[0.39000000000000001, u'lack effective investigation']
[0.39000000000000001, u'state security court']
[0.39000000000000001, u'treatment police custody']
[0.39000000000000001, u'turkish liras trl']
[0.38500000000000001, u'court conduct particularly']
[0.38500000000000001, u'depends circumstances case']
[0.38500000000000001, u'echr 2001 x2011']
[0.38500000000000001, u'general prosecutor office']
[0.38500000000000001, u'ill treatment state']
[0.38500000000000001, u'latvia lodged court']
[0.38500000000000001, u'obligation carry effective']
[0.38500000000000001, u'shall interference public']
[0.38, u'13 january 1993']
[0.38, u'absolute terms torture']
[0.38, u'applicant detention relevant']
[0.38, u'considers examined main']
[0.38, u'danger public order']
[0.38, u'effective investigation capable']
[0.38, u'european commission human']
[0.38, u'minimum level severity']
[0.38, u'principle presumption innocence']
[0.38, u'remedies referred article']
[0.38, u'safeguard lives jurisdiction']
[0.375, u'discretion manner conform']
[0.375, u'human rights watch']
[0.375, u'merits application time']
[0.375, u'physical force strictly']
[0.375, u'positive obligations article']
[0.375, u'providing requisite medical']
[0.37, u'depart findings mentioned']
[0.37, u'discharge mentioned burden']
[0.37, u'effects instances sex']
[0.37, u'extending applicant detention']
[0.37, u'force strictly necessary']
[0.37, u'ii alleged violation']
[0.37, u'protect right life']
[0.37, u'raises arguable claim']
[0.37, u'remedy meaning article']
[0.37, u'subjected various forms']
[0.37, u'yugoslav republic macedonia']
[0.36499999999999999, u'47095 99 18']
[0.36499999999999999, u'authorities obligation account']
[0.36499999999999999, u'convention human rights']
[0.36499999999999999, u'convention iv alleged']
[0.36499999999999999, u'finds remedy relied']
[0.36499999999999999, u'inhuman degrading conditions']
[0.36499999999999999, u'month time limit']
[0.36499999999999999, u'reads follows deprived']
[0.36499999999999999, u'regarded inflicted contravention']
[0.36499999999999999, u'stringency measure duration']
[0.36499999999999999, u'use force excessive']
[0.35999999999999999, u'conduct particularly thorough']
[0.35999999999999999, u'detention relevant period']
[0.35999999999999999, u'great britain northern']
[0.35999999999999999, u'hierarchical institutional connection']
[0.35999999999999999, u'members security forces']
[0.35999999999999999, u'right fair trial']
[0.35499999999999998, u'99 18 september']
[0.35499999999999998, u'agent mr zaytsev']
[0.35499999999999998, u'article 168 criminal']
[0.35499999999999998, u'level suffering inherent']
[0.35499999999999998, u'nations high commissioner']
[0.35499999999999998, u'persistence reasonable suspicion']
[0.34999999999999998, u'6293 04 10']
[0.34999999999999998, u'authority exercise right']
[0.34999999999999998, u'code civil procedure']
[0.34999999999999998, u'convention polish national']
[0.34999999999999998, u'effective exercise right']
[0.34999999999999998, u'force used indispensable']
[0.34999999999999998, u'independent impartial tribunal']
[0.34999999999999998, u'measure duration objective']
[0.34999999999999998, u'prepared accept principle']
[0.34999999999999998, u'relevant determination civil']
[0.34999999999999998, u'terms torture inhuman']
[0.34499999999999997, u'adherence rule law']
[0.34499999999999997, u'application communicated government']
[0.34499999999999997, u'case referred court']
[0.34499999999999997, u'case require depart']
[0.34499999999999997, u'emergency threatening life']
[0.34499999999999997, u'entire period detention']
[0.34499999999999997, u'force used police']
[0.34499999999999997, u'forth convention shall']
[0.34499999999999997, u'fundamental values democratic']
[0.34499999999999997, u'insufficient justify withholding']
[0.34499999999999997, u'procedure court observes']
[0.34000000000000002, u'99 14 october']
[0.34000000000000002, u'allegations ill treatment']
[0.34000000000000002, u'capable breaking individual']
[0.34000000000000002, u'convention turkish nationals']
[0.34000000000000002, u'escape person lawfully']
[0.34000000000000002, u'exercise right individual']
[0.34000000000000002, u'human rights violations']
[0.34000000000000002, u'persons control custody']
[0.34000000000000002, u'present case applicant']
[0.34000000000000002, u'violation article case']
[0.33500000000000002, u'168 criminal code']
[0.33500000000000002, u'imposes respondent state']
[0.33500000000000002, u'interests parties proper']
[0.33500000000000002, u'lawfulness applicant detention']
[0.33500000000000002, u'poor conditions detention']
[0.33500000000000002, u'safeguard ill treatment']
[0.33500000000000002, u'shall secured discrimination']
[0.33000000000000002, u'04 10 july']
[0.33000000000000002, u'case law ill']
[0.33000000000000002, u'court dismisses government']
[0.33000000000000002, u'facts domestic courts']
[0.33000000000000002, u'person unlawful violence']
[0.33000000000000002, u'regard nature violation']
[0.33000000000000002, u'requirements domestic law']
[0.33000000000000002, u'rule law preventing']
[0.33000000000000002, u'using physical force']
[0.32500000000000001, u'concern allegations prison']
[0.32500000000000001, u'court heard addresses']
[0.32000000000000001, u'35 convention requires']
[0.32000000000000001, u'cases manifest disproportion']
[0.32000000000000001, u'court finds remedy']
[0.32000000000000001, u'detained person entitled']
[0.32000000000000001, u'fundamental importance ineffective']
[0.32000000000000001, u'individual raises arguable']
[0.32000000000000001, u'law deprivation life']
[0.32000000000000001, u'level severity fall']
[0.32000000000000001, u'level severity relative']
[0.32000000000000001, u'natural light air']
[0.32000000000000001, u'non exhaustion domestic']
[0.315, u'acting official capacity']
[0.315, u'allegations prison authorities']
[0.315, u'case x2011 law']
[0.315, u'court finds impossible']
[0.315, u'criminal proceedings officers']
[0.315, u'freedoms convention turkish']
[0.315, u'inferiority capable breaking']
[0.315, u'instances sex age']
[0.315, u'personal space cell']
[0.315, u'principle convention intended']
[0.315, u'regional court upheld']
[0.315, u'remanded applicant custody']
[0.315, u'review lawfulness detention']
[0.315, u'sentenced years months']
[0.315, u'submit information hands']
[0.31, u'applicant medical records']
[0.31, u'assize court acquitted']
[0.31, u'convention shall secured']
[0.31, u'damage caused use']
[0.31, u'degrading treatment contrary']
[0.31, u'force absolutely necessary']
[0.31, u'human rights defined']
[0.31, u'person lawfully detained']
[0.31, u'possibility using remedy']
[0.31, u'public prosecutor istanbul']
[0.31, u'secured discrimination ground']
[0.31, u'shown believing person']
[0.31, u'specific allegations applicant']
[0.31, u'treatment physical mental']
[0.30499999999999999, u'cause distress hardship']
[0.30499999999999999, u'exercise right accordance']
[0.30499999999999999, u'intervene cases manifest']
[0.30499999999999999, u'meaning article 35']
[0.30499999999999999, u'provided law deprivation']
[0.30499999999999999, u'rights defined convention']
[0.30499999999999999, u'risk falling foul']
[0.30499999999999999, u'taken purpose quelling']
[0.29999999999999999, u'action lawfully taken']
[0.29999999999999999, u'convention intended guarantee']
[0.29999999999999999, u'covenant civil political']
[0.29999999999999999, u'declared application partly']
[0.29999999999999999, u'earliest possible date']
[0.29999999999999999, u'foreign commonwealth office']
[0.29999999999999999, u'ill treatment country']
[0.29999999999999999, u'notes inadmissible grounds']
[0.29999999999999999, u'public emergency threatening']
[0.29999999999999999, u'republic turkey lodged']
[0.29999999999999999, u'rise unexpected developments']
[0.29999999999999999, u'rule 52 rules']
[0.29999999999999999, u'similar preliminary objections']
[0.29999999999999999, u'submissions parties finding']
[0.29999999999999999, u'used indispensable excessive']
[0.29999999999999999, u'varies depending nature']
[0.29499999999999998, u'allegation ill treatment']
[0.29499999999999998, u'burden proof shift']
[0.29499999999999998, u'case court points']
[0.29499999999999998, u'conditions essential lawfulness']
[0.29499999999999998, u'courts choice appropriate']
[0.29499999999999998, u'injuries sustained applicant']
[0.29499999999999998, u'lawfully detained action']
[0.29499999999999998, u'medical care detention']
[0.29499999999999998, u'polish government government']
[0.29499999999999998, u'proceedings including way']
[0.29499999999999998, u'purpose quelling riot']
[0.29499999999999998, u'results use force']
[0.29499999999999998, u'separate autonomous duty']
[0.28999999999999998, u'applicant ill x2011']
[0.28999999999999998, u'capable humiliating debasing']
[0.28999999999999998, u'court finds applicant']
[0.28999999999999998, u'court refers case']
[0.28999999999999998, u'deprivation life shall']
[0.28999999999999998, u'eur 850 received']
[0.28999999999999998, u'excessive burden applicant']
[0.28999999999999998, u'mental effects instances']
[0.28999999999999998, u'right accordance law']
[0.28999999999999998, u'russian national mr']
[0.28499999999999998, u'applicant complained provisions']
[0.28499999999999998, u'disproportion gravity act']
[0.28499999999999998, u'force used applicant']
[0.28499999999999998, u'life shall regarded']
[0.28499999999999998, u'necessary defence person']
[0.28499999999999998, u'present case communicated']
[0.28499999999999998, u'submit explanation happened']
[0.28000000000000003, u'application republic azerbaijan']
[0.28000000000000003, u'breach article procedural']
[0.28000000000000003, u'capable binding state']
[0.28000000000000003, u'commissioner refugees unhcr']
[0.28000000000000003, u'complained provisions article']
[0.28000000000000003, u'complaints conditions detention']
[0.28000000000000003, u'explanation insufficient justify']
[0.28000000000000003, u'feelings fear anguish']
[0.28000000000000003, u'overcome resistance lawful']
[0.28000000000000003, u'right life shall']
[0.28000000000000003, u'rule 26 decision']
[0.27500000000000002, u'appropriate medical care']
[0.27500000000000002, u'court decided notice']
[0.27500000000000002, u'detained action lawfully']
[0.27500000000000002, u'form effective official']
[0.27500000000000002, u'positive intention humiliate']
[0.27500000000000002, u'representative russian federation']
[0.27500000000000002, u'strictly necessary detainee']
[0.27500000000000002, u'undermines ability establish']
[0.27000000000000002, u'accordingly violation article']
[0.27000000000000002, u'application ukraine lodged']
[0.27000000000000002, u'case duration treatment']
[0.27000000000000002, u'ensure state obligation']
[0.27000000000000002, u'private family life']
[0.27000000000000002, u'proceedings including trial']
[0.27000000000000002, u'prohibits absolute terms']
[0.27000000000000002, u'quelling riot insurrection']
[0.27000000000000002, u'romania lodged court']
[0.27000000000000002, u'statement investigation did']
[0.27000000000000002, u'threshold severity required']
[0.27000000000000002, u'unlawful violence order']
[0.26500000000000001, u'appalling conditions detention']
[0.26500000000000001, u'applicant granted status']
[0.26500000000000001, u'conditions detention account']
[0.26500000000000001, u'defence person unlawful']
[0.26500000000000001, u'degrading treatment proscribed']
[0.26500000000000001, u'developments criminal proceedings']
[0.26500000000000001, u'evidence submitted parties']
[0.26500000000000001, u'human rights commission']
[0.26500000000000001, u'investigation circumstances applicant']
