[1.0, u'date procedure case']
[0.14000000000000001, u'investigation individuals killed']
[0.14000000000000001, u'justification difference treatment']
[0.14000000000000001, u'kjeldsen busk madsen']
[0.14000000000000001, u'law costs expenses']
[0.14000000000000001, u'lend precise definition']
[0.14000000000000001, u'marriageable age right']
[0.14000000000000001, u'obligation article convention']
[0.14000000000000001, u'particular notify court']
[0.14000000000000001, u'persons similar situations']
[0.14000000000000001, u'receipt document produced']
[0.14000000000000001, u'shall placed exercise']
[0.14000000000000001, u'way legal aid']
[0.14000000000000001, u'women marriageable age']
[0.13, u'10 october 1994']
[0.13, u'14 convention holds']
[0.13, u'actually necessarily incurred']
[0.13, u'age right marry']
[0.13, u'andr\xe9 eissen registrar']
[0.13, u'court case law']
[0.13, u'family life guaranteed']
[0.13, u'fixing regulatory framework']
[0.13, u'framework remained margin']
[0.13, u'heard addresses mr']
[0.13, u'implication form effective']
[0.13, u'interference right respect']
[0.13, u'investigation capable leading']
[0.13, u'safety prevention disorder']
[0.13, u'satisfaction injured party']
[0.13, u'sufficient purposes paragraph']
[0.12, u'according general principles']
[0.12, u'amounts expiry mentioned']
[0.12, u'annexed judgment partly']
[0.12, u'authority exercise right']
[0.12, u'balance struck demands']
[0.12, u'basis required article']
[0.12, u'capable leading identification']
[0.12, u'child born relationship']
[0.12, u'coexistence sufficiently strong']
[0.12, u'convention violated shall']
[0.12, u'dudgeon united kingdom']
[0.12, u'execution sentence court']
[0.12, u'fall scope article']
[0.12, u'illusory practical effective']
[0.12, u'life intentionally save']
[0.12, u'make reparation consequences']
[0.12, u'margin appreciation enjoyed']
[0.12, u'meet reasonable time']
[0.12, u'offend shock disturb']
[0.12, u'parties living wedlock']
[0.12, u'peaceful enjoyment possessions']
[0.12, u'reasons adduced justify']
[0.12, u'remained margin appreciation']
[0.12, u'restrictions shall placed']
[0.11, u'1995 applicant granted']
[0.11, u'accordance law necessary']
[0.11, u'according national laws']
[0.11, u'consideration given needs']
[0.11, u'conviction crime penalty']
[0.11, u'court agreement reach']
[0.11, u'court court appeal']
[0.11, u'effective political democracy']
[0.11, u'enjoyment possessions meaning']
[0.11, u'governing exercise right']
[0.11, u'impair essence deprive']
[0.11, u'interests national security']
[0.11, u'marry family according']
[0.11, u'obligation investigate possible']
[0.11, u'official investigation individuals']
[0.11, u'positive obligation imposed']
[0.11, u'protected law shall']
[0.11, u'public authority exercise']
[0.11, u'public safety prevention']
[0.11, u'regulatory framework remained']
[0.11, u'right accordance law']
[0.11, u'right freedom peaceful']
[0.11, u'romanian government government']
[0.11, u'theoretical illusory practical']
[0.11, u'th\xf3r vilhj\xe1lmsson mr']
[0.11, u'united kingdom article']
[0.10000000000000001, u'19 convention european']
[0.10000000000000001, u'accordance article 51']
[0.10000000000000001, u'applicant sought reimbursement']
[0.10000000000000001, u'complements substantive provisions']
[0.10000000000000001, u'considerations court finds']
[0.10000000000000001, u'court european commission']
[0.10000000000000001, u'deprived life intentionally']
[0.10000000000000001, u'discrimination enjoyment rights']
[0.10000000000000001, u'essence deprive effectiveness']
[0.10000000000000001, u'extent impair essence']
[0.10000000000000001, u'failure authorities conduct']
[0.10000000000000001, u'fair public hearing']
[0.10000000000000001, u'freedom peaceful assembly']
[0.10000000000000001, u'individual fundamental rights']
[0.10000000000000001, u'life contrary article']
[0.10000000000000001, u'linked exercise right']
[0.10000000000000001, u'material determining respondent']
[0.10000000000000001, u'necessary measures taken']
[0.10000000000000001, u'obligations article convention']
[0.10000000000000001, u'prevent escape person']
[0.10000000000000001, u'regard difference treatment']
[0.10000000000000001, u'relationships encompass facto']
[0.10000000000000001, u'remedy national authority']
[0.10000000000000001, u'secured discrimination ground']
[0.10000000000000001, u'sentence court following']
[0.10000000000000001, u'struck demands general']
[0.10000000000000001, u'vary according circumstances']
[0.089999999999999997, u'47 rules court']
[0.089999999999999997, u'absolutely necessary defence']
[0.089999999999999997, u'adopts standard proof']
[0.089999999999999997, u'article 13 article']
[0.089999999999999997, u'balance struck competing']
[0.089999999999999997, u'claim excessive unsubstantiated']
[0.089999999999999997, u'claimed 20 000']
[0.089999999999999997, u'concordant inferences similar']
[0.089999999999999997, u'convention human rights']
[0.089999999999999997, u'costs preparation presentation']
[0.089999999999999997, u'court heard addresses']
[0.089999999999999997, u'deliberated private 29']
[0.089999999999999997, u'effective remedy national']
[0.089999999999999997, u'facts issue fall']
[0.089999999999999997, u'follow coexistence sufficiently']
[0.089999999999999997, u'following judges mr']
[0.089999999999999997, u'gbp 30 000']
[0.089999999999999997, u'inferences similar unrebutted']
[0.089999999999999997, u'law shall deprived']
[0.089999999999999997, u'necessary defence person']
[0.089999999999999997, u'necessary examine applicants']
[0.089999999999999997, u'northern ireland lodged']
[0.089999999999999997, u'presidents sections article']
[0.089999999999999997, u'procedural safeguards available']
[0.089999999999999997, u'quesada josep casadevall']
[0.089999999999999997, u'requirements protection individual']
[0.089999999999999997, u'respondent state fixing']
[0.089999999999999997, u'rules court santiago']
[0.089999999999999997, u'subject review court']
[0.089999999999999997, u'supreme court cassation']
[0.089999999999999997, u'treatment based sex']
[0.080000000000000002, u'20 000 euros']
[0.080000000000000002, u'allow unduly influenced']
[0.080000000000000002, u'appeared court government']
[0.080000000000000002, u'based relationships encompass']
[0.080000000000000002, u'bulgaria judgment strasbourg']
[0.080000000000000002, u'case united kingdom']
[0.080000000000000002, u'complained difference treatment']
[0.080000000000000002, u'considerations nature case']
[0.080000000000000002, u'defence person unlawful']
[0.080000000000000002, u'detained action lawfully']
[0.080000000000000002, u'determination civil rights']
[0.080000000000000002, u'economic social strategy']
[0.080000000000000002, u'equitable basis required']
[0.080000000000000002, u'european social charter']
[0.080000000000000002, u'fear anguish inferiority']
[0.080000000000000002, u'influenced considerations nature']
[0.080000000000000002, u'jebens giorgio malinverni']
[0.080000000000000002, u'judges santiago quesada']
[0.080000000000000002, u'lawful detention person']
[0.080000000000000002, u'person unlawful violence']
[0.080000000000000002, u'republic turkey lodged']
[0.080000000000000002, u'santiago quesada section']
[0.080000000000000002, u'shall interference public']
[0.080000000000000002, u'south east turkey']
[0.080000000000000002, u'state positive negative']
[0.080000000000000002, u'unlawful violence order']
[0.080000000000000002, u'violation right freedom']
[0.070000000000000007, u'45 convention rule']
[0.070000000000000007, u'74 rules court']
[0.070000000000000007, u'administered private individuals']
[0.070000000000000007, u'allegations ill treatment']
[0.070000000000000007, u'appreciation assessing extent']
[0.070000000000000007, u'bindschedler robert mr']
[0.070000000000000007, u'case making assessment']
[0.070000000000000007, u'case originated application']
[0.070000000000000007, u'civil code force']
[0.070000000000000007, u'complaint public prosecutor']
[0.070000000000000007, u'court santiago quesada']
[0.070000000000000007, u'decision making process']
[0.070000000000000007, u'decision plenary session']
[0.070000000000000007, u'dismisses unanimously remainder']
[0.070000000000000007, u'does presuppose breach']
[0.070000000000000007, u'family according national']
[0.070000000000000007, u'family life article']
[0.070000000000000007, u'general duty article']
[0.070000000000000007, u'given needs different']
[0.070000000000000007, u'grand chamber determined']
[0.070000000000000007, u'human rights sitting']
[0.070000000000000007, u'issue fall ambit']
[0.070000000000000007, u'lawfully detained action']
[0.070000000000000007, u'liberty save following']
[0.070000000000000007, u'marriage based relationships']
[0.070000000000000007, u'needs different lifestyle']
[0.070000000000000007, u'particular circumstances case']
[0.070000000000000007, u'provides right freedom']
[0.070000000000000007, u'reimbursement legal costs']
[0.070000000000000007, u'represented agent mr']
[0.070000000000000007, u'requisite protection interests']
[0.070000000000000007, u'right respect home']
[0.070000000000000007, u'safeguarded provisions application']
[0.070000000000000007, u'sections article 27']
